
9780470059029, valid
877195x869, invalid
dsfhkjnm, invalid
877195x869, invalid
877195x869, invalid
877195x869, invalid
9780470059029, valid
877195x869, invalid
9780470059029, valid
978-0-13-149505-0, valid
877195x869, invalid
877195x869, invalid
877195x869, invalid
877195x869, invalid
877195x869, invalid
877195x869, invalid
877195x869, invalid
9780470059029, valid
111111111x, valid
111111111x, valid
877195x869, valid
877195a869, valid
fghyj, valid
8771958x69, valid
87x1957869, valid
97804700590294780470059029, valid
87719xx869, valid
